State;n1;n2;n3;n4;n5;n6;nSumm;    s1;    s2;    s3;    s4;    s5;    s6;
  351; 0; 2; 0; 0; 1; 0;    3;  2.50;  2.52;  0.80;  2.52;  3.84;  0.30;
  352; 1; 2; 0; 0; 1; 0;    4;  3.20;  3.42;  1.00;  3.42;  4.54;  0.40;
  356; 0; 3; 0; 0; 1; 0;    4;  3.40;  3.12;  1.10;  3.12;  5.16;  0.40;
  362; 0; 0; 1; 0; 1; 0;    2;  0.90;  1.62;  0.40;  1.62;  1.40;  0.20;
  363; 1; 0; 1; 0; 1; 0;    3;  1.60;  2.52;  0.60;  2.52;  2.10;  0.30;
  364; 2; 0; 1; 0; 1; 0;    4;  2.30;  3.42;  0.80;  3.42;  2.80;  0.40;
  367; 0; 1; 1; 0; 1; 0;    3;  1.80;  2.22;  0.70;  2.22;  2.72;  0.30;
  368; 1; 1; 1; 0; 1; 0;    4;  2.50;  3.12;  0.90;  3.12;  3.42;  0.40;
  372; 0; 2; 1; 0; 1; 0;    4;  2.70;  2.82;  1.00;  2.82;  4.04;  0.40;
  383; 0; 0; 2; 0; 1; 0;    3;  1.10;  1.92;  0.60;  1.92;  1.60;  0.30;
  384; 1; 0; 2; 0; 1; 0;    4;  1.80;  2.82;  0.80;  2.82;  2.30;  0.40;
  388; 0; 1; 2; 0; 1; 0;    4;  2.00;  2.52;  0.90;  2.52;  2.92;  0.40;
  404; 0; 0; 3; 0; 1; 0;    4;  1.30;  2.22;  0.80;  2.22;  1.80;  0.40;
  426; 0; 0; 0; 1; 1; 0;    2;  1.60;  1.92;  0.50;  1.72;  2.52;  0.20;
  427; 1; 0; 0; 1; 1; 0;    3;  2.30;  2.82;  0.70;  2.62;  3.22;  0.30;
  428; 2; 0; 0; 1; 1; 0;    4;  3.00;  3.72;  0.90;  3.52;  3.92;  0.40;
  431; 0; 1; 0; 1; 1; 0;    3;  2.50;  2.52;  0.80;  2.32;  3.84;  0.30;
  432; 1; 1; 0; 1; 1; 0;    4;  3.20;  3.42;  1.00;  3.22;  4.54;  0.40;
